trait_type,value,count,pct,rarity_note
Community Handle,@endertown,1,0.0113,1 of 1 unique
Community Handle,@hoffmang,1,0.0113,1 of 1 unique
Community Handle,@iamSiipi,1,0.0113,1 of 1 unique
Community Handle,@ignoreart,1,0.0113,1 of 1 unique
Community Handle,@m0b1lx,1,0.0113,1 of 1 unique
Community Handle,@monkeyzoo,1,0.0113,1 of 1 unique
Community Handle,@neilpeel_me,1,0.0113,1 of 1 unique
Community Handle,@nftprofetmaster,1,0.0113,1 of 1 unique
Community Handle,@permutocapital,1,0.0113,1 of 1 unique
Community Handle,@sage_wallet,1,0.0113,1 of 1 unique
Community Handle,@seedsnapp,1,0.0113,1 of 1 unique
Community Handle,@silicondotnet,1,0.0113,1 of 1 unique
Community Handle,@solomonslot,1,0.0113,1 of 1 unique
Community Handle,@spacescan_io,1,0.0113,1 of 1 unique
Community Handle,@steppsr,1,0.0113,1 of 1 unique
Community Handle,@theNamesdao,1,0.0113,1 of 1 unique
Community Handle,@thyrevolution,1,0.0113,1 of 1 unique
Community Handle,@time2buyxch,1,0.0113,1 of 1 unique
Community Handle,@trashformersnft,1,0.0113,1 of 1 unique
Custom Element,orange skin + orange background,1,0.0113,1 of 1 unique
Custom Element,white beard,1,0.0113,1 of 1 unique
Display Name,Fiend,2,0.0225,ultra rare
Display Name,Profet,2,0.0225,ultra rare
Display Name,Steve,2,0.0225,ultra rare
Display Name,Acevail,1,0.0113,1 of 1 unique
Display Name,Anarkoic,1,0.0113,1 of 1 unique
Display Name,Art Boss,1,0.0113,1 of 1 unique
Display Name,Aster,1,0.0113,1 of 1 unique
Display Name,Ben,1,0.0113,1 of 1 unique
Display Name,Blake,1,0.0113,1 of 1 unique
Display Name,Bram,1,0.0113,1 of 1 unique
Display Name,Bullish,1,0.0113,1 of 1 unique
Display Name,Cass Fairies,1,0.0113,1 of 1 unique
Display Name,Chamber,1,0.0113,1 of 1 unique
Display Name,Chia,1,0.0113,1 of 1 unique
Display Name,Chia Gods,1,0.0113,1 of 1 unique
Display Name,Circuit,1,0.0113,1 of 1 unique
Display Name,DIG,1,0.0113,1 of 1 unique
Display Name,Dan,1,0.0113,1 of 1 unique
Display Name,DatArt,1,0.0113,1 of 1 unique
Display Name,Dennis,1,0.0113,1 of 1 unique
Display Name,Dexie,1,0.0113,1 of 1 unique
Display Name,Dracattus,1,0.0113,1 of 1 unique
Display Name,Ender,1,0.0113,1 of 1 unique
Display Name,Gene,1,0.0113,1 of 1 unique
Display Name,Gooey,1,0.0113,1 of 1 unique
Display Name,Grig,1,0.0113,1 of 1 unique
Display Name,Grizzle,1,0.0113,1 of 1 unique
Display Name,Heart,1,0.0113,1 of 1 unique
Display Name,Hyperhex,1,0.0113,1 of 1 unique
Display Name,Ice Labs,1,0.0113,1 of 1 unique
Display Name,Ignore,1,0.0113,1 of 1 unique
Display Name,James,1,0.0113,1 of 1 unique
Display Name,Lost Gifs,1,0.0113,1 of 1 unique
Display Name,Lucky 8,1,0.0113,1 of 1 unique
Display Name,Matthew,1,0.0113,1 of 1 unique
Display Name,Max,1,0.0113,1 of 1 unique
Display Name,Mayor,1,0.0113,1 of 1 unique
Display Name,Memecoin,1,0.0113,1 of 1 unique
Display Name,Mini Marmot,1,0.0113,1 of 1 unique
Display Name,MintGarden,1,0.0113,1 of 1 unique
Display Name,Mobilx,1,0.0113,1 of 1 unique
Display Name,Monkeyzoo,1,0.0113,1 of 1 unique
Display Name,Namesdao,1,0.0113,1 of 1 unique
Display Name,Okra,1,0.0113,1 of 1 unique
Display Name,Oops,1,0.0113,1 of 1 unique
Display Name,Orc,1,0.0113,1 of 1 unique
Display Name,Papa,1,0.0113,1 of 1 unique
Display Name,Peel,1,0.0113,1 of 1 unique
Display Name,Permuto,1,0.0113,1 of 1 unique
Display Name,Amiri,1,0.0113,1 of 1 unique
Display Name,Planet,1,0.0113,1 of 1 unique
Display Name,RVD,1,0.0113,1 of 1 unique
Display Name,Rigidity,1,0.0113,1 of 1 unique
Display Name,Sage,1,0.0113,1 of 1 unique
Display Name,Seedsnapp,1,0.0113,1 of 1 unique
Display Name,Siipi,1,0.0113,1 of 1 unique
Display Name,Silicon,1,0.0113,1 of 1 unique
Display Name,Sol,1,0.0113,1 of 1 unique
Display Name,SpaceScan,1,0.0113,1 of 1 unique
Display Name,Staker,1,0.0113,1 of 1 unique
Display Name,Strange,1,0.0113,1 of 1 unique
Display Name,TMoney,1,0.0113,1 of 1 unique
Display Name,Thy,1,0.0113,1 of 1 unique
Display Name,Timelord,1,0.0113,1 of 1 unique
Display Name,Tom,1,0.0113,1 of 1 unique
Display Name,Trashformers,1,0.0113,1 of 1 unique
Display Name,Whale,1,0.0113,1 of 1 unique
Display Name,XCH Foundation,1,0.0113,1 of 1 unique
Eyes,Blue,1460,16.4266,common
Eyes,Green,1300,14.6265,common
Eyes,Hazel,1091,12.2750,common
Eyes,Medium Brown,1009,11.3524,common
Eyes,Light Blue,882,9.9235,uncommon
Eyes,Light Brown,847,9.5297,uncommon
Eyes,Dark Brown,827,9.3047,uncommon
Eyes,Gray,816,9.1809,uncommon
Eyes,Amber,654,7.3582,uncommon
Eyes,eyes Light Blue,1,0.0113,1 of 1 unique
Face,Potion Stained,424,4.7705,uncommon
Face,Ghostly,416,4.6805,uncommon
Face,Void Touched,412,4.6355,uncommon
Face,Celestial Blue,404,4.5455,uncommon
Face,Vampiric,402,4.5230,uncommon
Face,Storm Grey,401,4.5117,uncommon
Face,Chaos Warped,399,4.4892,uncommon
Face,Desiccated,395,4.4442,uncommon
Face,Charred Ash,392,4.4104,uncommon
Face,Fel Corrupted,390,4.3879,uncommon
Face,Mud Cracked,386,4.3429,uncommon
Face,Rune Etched,385,4.3317,uncommon
Face,Drowned,384,4.3204,uncommon
Face,Frostbitten,384,4.3204,uncommon
Face,Glamour Tint,384,4.3204,uncommon
Face,Mana Veined,382,4.2979,uncommon
Face,Mystic Aura,381,4.2867,uncommon
Face,Shadow Form,379,4.2642,uncommon
Face,Rotten Flesh,375,4.2192,uncommon
Face,Radiant Pale,363,4.0842,uncommon
Face,Sands of Time,360,4.0504,uncommon
Face,Bark Skin,356,4.0054,uncommon
Face,Exsanguinated,332,3.7354,uncommon
Face,Glamour Tint (Orange Skin),1,0.0113,1 of 1 unique
Facial Hair,Medium Rounded Black,501,5.6368,uncommon
Facial Hair,Medium Rounded Dark Brown,454,5.1080,uncommon
Facial Hair,Long Rounded Black,373,4.1967,uncommon
Facial Hair,Medium Rounded Brown,373,4.1967,uncommon
Facial Hair,Goatee Black,356,4.0054,uncommon
Facial Hair,Long Pointy Dark Brown,330,3.7129,uncommon
Facial Hair,Long Rounded Dark Brown,317,3.5666,uncommon
Facial Hair,Long Pointy Black,316,3.5554,uncommon
Facial Hair,Long Rounded Brown,308,3.4653,uncommon
Facial Hair,Goatee Dark Brown,298,3.3528,uncommon
Facial Hair,Full Beard Black,278,3.1278,uncommon
Facial Hair,Goatee Brown,275,3.0941,uncommon
Facial Hair,Medium Rounded Blonde,270,3.0378,uncommon
Facial Hair,Long Pointy Brown,269,3.0266,uncommon
Facial Hair,Full Beard Dark Brown,256,2.8803,uncommon
Facial Hair,Medium Rounded Red Orange,256,2.8803,uncommon
Facial Hair,Long Braid Black,226,2.5428,uncommon
Facial Hair,Long Braid Dark Brown,218,2.4527,uncommon
Facial Hair,Full Beard Brown,207,2.3290,uncommon
Facial Hair,Long Rounded Blonde,192,2.1602,uncommon
Facial Hair,Long Rounded Red Orange,184,2.0702,uncommon
Facial Hair,Long Braid Brown,176,1.9802,rare
Facial Hair,Long Pointy Blonde,167,1.8789,rare
Facial Hair,Chin Strap Black,161,1.8114,rare
Facial Hair,Medium Rounded White Gray,158,1.7777,rare
Facial Hair,Full Beard Blonde,155,1.7439,rare
Facial Hair,Goatee Red Orange,152,1.7102,rare
Facial Hair,Goatee Blonde,151,1.6989,rare
Facial Hair,Chin Strap Dark Brown,141,1.5864,rare
Facial Hair,Long Braid Blonde,136,1.5302,rare
Facial Hair,Long Rounded White Gray,135,1.5189,rare
Facial Hair,Long Pointy Red Orange,132,1.4851,rare
Facial Hair,Full Beard Red Orange,123,1.3839,rare
Facial Hair,Full Beard White Gray,115,1.2939,rare
Facial Hair,Long Pointy White Gray,115,1.2939,rare
Facial Hair,Chin Strap Brown,110,1.2376,rare
Facial Hair,Long Braid Red Orange,102,1.1476,rare
Facial Hair,Chin Strap Blonde,98,1.1026,rare
Facial Hair,Goatee White Gray,97,1.0914,rare
Facial Hair,Chin Strap White Gray,71,0.7988,rare
Facial Hair,Long Braid White Gray,71,0.7988,rare
Facial Hair,Chin Strap Red Orange,63,0.7088,rare
Facial Hair,None,1,0.0113,1 of 1 unique
Familiar,None,5043,56.7394,common
Familiar,Frog,702,7.8983,uncommon
Familiar,Raven,604,6.7957,uncommon
Familiar,Black Cat,487,5.4793,uncommon
Familiar,Owl,486,5.4680,uncommon
Familiar,Slime,404,4.5455,uncommon
Familiar,Baby Dragon,388,4.3654,uncommon
Familiar,Ghost,306,3.4428,uncommon
Familiar,Phoenix,267,3.0041,uncommon
Familiar,Miniature Cosmic Beast,201,2.2615,uncommon
Glasses,Omen Readers,407,4.5792,uncommon
Glasses,Fel Oculars,405,4.5567,uncommon
Glasses,Crimson Glare,397,4.4667,uncommon
Glasses,Elder Keepers,397,4.4667,uncommon
Glasses,Sanguine Sight,396,4.4554,uncommon
Glasses,Sigil Scanners,395,4.4442,uncommon
Glasses,Lich Lenses,393,4.4217,uncommon
Glasses,Divine Spectacles,392,4.4104,uncommon
Glasses,Tempest Visors,392,4.4104,uncommon
Glasses,Trench Scopes,392,4.4104,uncommon
Glasses,Dune Drifters,391,4.3992,uncommon
Glasses,Potion Masters,390,4.3879,uncommon
Glasses,Magma Goggles,388,4.3654,uncommon
Glasses,Entropy Shades,387,4.3542,uncommon
Glasses,Mystic Gaze,386,4.3429,uncommon
Glasses,Ethereal Visions,372,4.1854,uncommon
Glasses,Glamour Glass,368,4.1404,uncommon
Glasses,Terra Frames,366,4.1179,uncommon
Glasses,Frost Sight,363,4.0842,uncommon
Glasses,Oracle Orbs,361,4.0617,uncommon
Glasses,Astral Focus,359,4.0392,uncommon
Glasses,Abyssal Shades,352,3.9604,uncommon
Glasses,Epoch Eyes,340,3.8254,uncommon
Glasses,Louvered Shades,97,1.0914,rare
Glasses,Prism Visor,1,0.0113,1 of 1 unique
Glasses,Sunset Visor,1,0.0113,1 of 1 unique
Headwear,Green Beret,1,0.0113,1 of 1 unique
Mouth,Classic,8887,99.9887,common
Name,Fiend,2,0.0225,ultra rare
Name,Profet,2,0.0225,ultra rare
Name,Steve,2,0.0225,ultra rare
Name,Acevail,1,0.0113,1 of 1 unique
Name,Anarkoic,1,0.0113,1 of 1 unique
Name,Art Boss,1,0.0113,1 of 1 unique
Name,Aster,1,0.0113,1 of 1 unique
Name,Ben,1,0.0113,1 of 1 unique
Name,Blake,1,0.0113,1 of 1 unique
Name,Bram,1,0.0113,1 of 1 unique
Name,Bullish,1,0.0113,1 of 1 unique
Name,Cass Fairies,1,0.0113,1 of 1 unique
Name,Chamber,1,0.0113,1 of 1 unique
Name,Chia,1,0.0113,1 of 1 unique
Name,Chia Gods,1,0.0113,1 of 1 unique
Name,Circuit,1,0.0113,1 of 1 unique
Name,DIG,1,0.0113,1 of 1 unique
Name,Dan,1,0.0113,1 of 1 unique
Name,DatArt,1,0.0113,1 of 1 unique
Name,Dennis,1,0.0113,1 of 1 unique
Name,Dexie,1,0.0113,1 of 1 unique
Name,Dracattus,1,0.0113,1 of 1 unique
Name,Ender,1,0.0113,1 of 1 unique
Name,Gene,1,0.0113,1 of 1 unique
Name,Gooey,1,0.0113,1 of 1 unique
Name,Grig,1,0.0113,1 of 1 unique
Name,Grizzle,1,0.0113,1 of 1 unique
Name,Heart,1,0.0113,1 of 1 unique
Name,Hyperhex,1,0.0113,1 of 1 unique
Name,Ice Labs,1,0.0113,1 of 1 unique
Name,Ignore,1,0.0113,1 of 1 unique
Name,James,1,0.0113,1 of 1 unique
Name,Lost Gifs,1,0.0113,1 of 1 unique
Name,Lucky 8,1,0.0113,1 of 1 unique
Name,Matthew,1,0.0113,1 of 1 unique
Name,Max,1,0.0113,1 of 1 unique
Name,Mayor,1,0.0113,1 of 1 unique
Name,Memecoin,1,0.0113,1 of 1 unique
Name,Mini Marmot,1,0.0113,1 of 1 unique
Name,MintGarden,1,0.0113,1 of 1 unique
Name,Mobilx,1,0.0113,1 of 1 unique
Name,Monkeyzoo,1,0.0113,1 of 1 unique
Name,Namesdao,1,0.0113,1 of 1 unique
Name,Okra,1,0.0113,1 of 1 unique
Name,Oops,1,0.0113,1 of 1 unique
Name,Orc,1,0.0113,1 of 1 unique
Name,Papa,1,0.0113,1 of 1 unique
Name,Peel,1,0.0113,1 of 1 unique
Name,Permuto,1,0.0113,1 of 1 unique
Name,Amiri,1,0.0113,1 of 1 unique
Name,Planet,1,0.0113,1 of 1 unique
Name,RVD,1,0.0113,1 of 1 unique
Name,Rigidity,1,0.0113,1 of 1 unique
Name,Sage,1,0.0113,1 of 1 unique
Name,Seedsnapp,1,0.0113,1 of 1 unique
Name,Siipi,1,0.0113,1 of 1 unique
Name,Silicon,1,0.0113,1 of 1 unique
Name,Sol,1,0.0113,1 of 1 unique
Name,SpaceScan,1,0.0113,1 of 1 unique
Name,Staker,1,0.0113,1 of 1 unique
Name,Strange,1,0.0113,1 of 1 unique
Name,TMoney,1,0.0113,1 of 1 unique
Name,Thy,1,0.0113,1 of 1 unique
Name,Timelord,1,0.0113,1 of 1 unique
Name,Tom,1,0.0113,1 of 1 unique
Name,Trashformers,1,0.0113,1 of 1 unique
Name,Whale,1,0.0113,1 of 1 unique
Name,XCH Foundation,1,0.0113,1 of 1 unique
Palette,Blue Monotone + Amber Pop,1,0.0113,1 of 1 unique
Shirt,Storm Caller,426,4.7930,uncommon
Shirt,Spirit Guide,424,4.7705,uncommon
Shirt,Deep Sea,418,4.7030,uncommon
Shirt,Earth Shaman,406,4.5680,uncommon
Shirt,Shadow Priest,403,4.5342,uncommon
Shirt,Vampire Lord,401,4.5117,uncommon
Shirt,Arcane Mage,398,4.4779,uncommon
Shirt,Druid,396,4.4554,uncommon
Shirt,Cleric Light,395,4.4442,uncommon
Shirt,Warlock Fel,395,4.4442,uncommon
Shirt,Rune Keeper,393,4.4217,uncommon
Shirt,Necromancer,388,4.3654,uncommon
Shirt,Alchemist,386,4.3429,uncommon
Shirt,Chaos Weaver,383,4.3092,uncommon
Shirt,Mystic Seer,381,4.2867,uncommon
Shirt,Sand Sage,376,4.2304,uncommon
Shirt,Illusionist,375,4.2192,uncommon
Shirt,Blood Mage,369,4.1517,uncommon
Shirt,Void Walker,361,4.0617,uncommon
Shirt,Chronomancer,358,4.0279,uncommon
Shirt,High Sorcerer,356,4.0054,uncommon
Shirt,Pyromancer,354,3.9829,uncommon
Shirt,Cryomancer,345,3.8816,uncommon
Special,Standard,8817,99.2012,common
Special,Community 1 of 1,61,0.6863,rare
Special,Named,10,0.1125,ultra rare
Species,Bird,1,0.0113,1 of 1 unique
Spell Effect,None,4942,55.6031,common
Spell Effect,Sparks,862,9.6985,uncommon
Spell Effect,Floating Runes,724,8.1458,uncommon
Spell Effect,Fireball,556,6.2556,uncommon
Spell Effect,Ice Shards,475,5.3443,uncommon
Spell Effect,Lightning Arc,464,5.2205,uncommon
Spell Effect,Poison Mist,385,4.3317,uncommon
Spell Effect,Time Distortion,261,2.9365,uncommon
Spell Effect,Reality Fracture,218,2.4527,uncommon
Spell Effect,Amber Core,1,0.0113,1 of 1 unique
Staff,None,4607,51.8339,common
Staff,Wooden Wand,876,9.8560,uncommon
Staff,Gnarled Staff,673,7.5720,uncommon
Staff,Crystal Wand,516,5.8056,uncommon
Staff,Ice Staff,459,5.1643,uncommon
Staff,Fire Staff,441,4.9617,uncommon
Staff,Lightning Rod,356,4.0054,uncommon
Staff,Bone Scepter,305,3.4316,uncommon
Staff,Dragon Staff,244,2.7453,uncommon
Staff,Timekeeper Staff,220,2.4752,uncommon
Staff,Worldbreaker Wand,191,2.1490,uncommon
Wizard Hat,Storm Caller,426,4.7930,uncommon
Wizard Hat,Spirit Guide,424,4.7705,uncommon
Wizard Hat,Deep Sea,418,4.7030,uncommon
Wizard Hat,Earth Shaman,406,4.5680,uncommon
Wizard Hat,Shadow Priest,403,4.5342,uncommon
Wizard Hat,Vampire Lord,401,4.5117,uncommon
Wizard Hat,Arcane Mage,398,4.4779,uncommon
Wizard Hat,Druid,396,4.4554,uncommon
Wizard Hat,Cleric Light,395,4.4442,uncommon
Wizard Hat,Warlock Fel,395,4.4442,uncommon
Wizard Hat,Rune Keeper,393,4.4217,uncommon
Wizard Hat,Necromancer,388,4.3654,uncommon
Wizard Hat,Alchemist,386,4.3429,uncommon
Wizard Hat,Chaos Weaver,383,4.3092,uncommon
Wizard Hat,Mystic Seer,381,4.2867,uncommon
Wizard Hat,Sand Sage,376,4.2304,uncommon
Wizard Hat,Illusionist,375,4.2192,uncommon
Wizard Hat,Blood Mage,368,4.1404,uncommon
Wizard Hat,Void Walker,361,4.0617,uncommon
Wizard Hat,Chronomancer,358,4.0279,uncommon
Wizard Hat,High Sorcerer,356,4.0054,uncommon
Wizard Hat,Pyromancer,354,3.9829,uncommon
Wizard Hat,Cryomancer,345,3.8816,uncommon
Wizard Hat,None,1,0.0113,1 of 1 unique
